GEO_ID,NAME,DP04_0126E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0128E,DP04_0127E,DP04_0134E,DP04_0135E,DP04_0088E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0082E,DP04_0087E,DP04_0081E,DP04_0089E,DP04_0126PE,DP04_0129PE,DP04_0130PE,DP04_0131PE,DP04_0132PE,DP04_0133PE,DP04_0128PE,DP04_0127PE,DP04_0088PE,DP04_0083PE,DP04_0084PE,DP04_0085PE,DP04_0086PE,DP04_0082PE,DP04_0087PE,DP04_0081PE
1400000US19169010101,Census Tract 101.01; Story County; Iowa,217,56,3,0,0,0,155,3,869,3,4,87,349,407,357,39,50,69,226900,217,25.8,1.4,0,0,0,71.4,1.4,0.3,6.4,25.6,29.9,26.2,2.9,3.7,5.1
1400000US19169010102,Census Tract 101.02; Story County; Iowa,236,59,66,9,0,0,87,15,1293,9,33,66,227,415,466,115,57,59,250300,236,25,28,3.8,0,0,36.9,6.4,2.3,4.6,15.8,28.9,32.4,8,4,4.1
1400000US19169010200,Census Tract 102; Story County; Iowa,235,88,21,0,0,0,100,26,960,25,18,247,288,254,150,156,104,109,171600,235,37.4,8.9,0,0,0,42.6,11.1,1.4,18.6,21.7,19.2,11.3,11.8,7.8,8.2
1400000US19169010300,Census Tract 103; Story County; Iowa,454,81,19,0,0,41,146,167,783,17,0,195,391,385,185,91,13,239,176200,454,17.8,4.2,0,0,9,32.2,36.8,0,13,26.1,25.7,12.3,6.1,0.9,15.9
1400000US19169010400,Census Tract 104; Story County; Iowa,287,46,0,0,37,0,187,17,845,14,0,207,275,254,32,78,8,147,158100,287,16,0,0,12.9,0,65.2,5.9,0,20.7,27.5,25.4,3.2,7.8,0.8,14.7
1400000US19169010500,Census Tract 105; Story County; Iowa,152,48,6,0,0,0,77,21,707,8,6,124,173,135,92,50,10,40,174300,152,31.6,3.9,0,0,0,50.7,13.8,1,19.7,27.5,21.4,14.6,7.9,1.6,6.3
1400000US19169010600,Census Tract 106; Story County; Iowa,470,143,14,0,0,0,266,47,860,75,0,383,456,470,288,139,66,21,181600,470,30.4,3,0,0,0,56.6,10,0,21,25,25.8,15.8,7.6,3.6,1.2
1400000US19171290100,Census Tract 2901; Tama County; Iowa,207,44,25,0,0,0,138,0,855,15,0,144,166,250,118,280,27,49,158900,207,21.3,12.1,0,0,0,66.7,0,0,13.9,16.1,24.2,11.4,27.1,2.6,4.7
1400000US19171290200,Census Tract 2902; Tama County; Iowa,217,80,4,0,0,6,117,10,872,23,9,198,131,129,85,183,3,22,142800,217,36.9,1.8,0,0,2.8,53.9,4.6,1.2,26.1,17.2,17,11.2,24.1,0.4,2.9
1400000US19171290300,Census Tract 2903; Tama County; Iowa,145,33,0,0,0,0,90,22,684,98,9,204,83,212,86,258,43,57,140700,145,22.8,0,0,0,0,62.1,15.2,0.9,21.4,8.7,22.3,9,27.1,4.5,6
1400000US19171290400,Census Tract 2904; Tama County; Iowa,260,66,22,0,0,0,168,4,924,91,0,229,90,113,38,150,0,40,122300,260,25.4,8.5,0,0,0,64.6,1.5,0,34.7,13.6,17.1,5.8,22.7,0,6.1
1400000US19171290500,Census Tract 2905; Tama County; Iowa,380,58,0,7,0,0,234,81,824,90,0,189,64,57,39,288,0,141,92700,380,15.3,0,1.8,0,0,61.6,21.3,0,24.3,8.2,7.3,5,37,0,18.1
1400000US19171290600,Census Tract 2906; Tama County; Iowa,55,4,0,0,0,0,32,19,675,58,38,207,73,209,42,141,18,152,124500,55,7.3,0,0,0,0,58.2,34.5,4.3,23.5,8.3,23.8,4.8,16,2,17.3
1400000US19173180100,Census Tract 1801; Taylor County; Iowa,177,10,5,0,0,9,102,51,642,37,0,159,83,132,39,209,28,141,109200,177,5.6,2.8,0,0,5.1,57.6,28.8,0,20.1,10.5,16.7,4.9,26.4,3.5,17.8
1400000US19173180200,Census Tract 1802; Taylor County; Iowa,136,10,0,0,0,0,92,34,626,45,6,133,44,76,24,168,5,164,90000,136,7.4,0,0,0,0,67.6,25,1,21.5,7.1,12.3,3.9,27.1,0.8,26.5
