GEO_ID,NAME,DP05_0089E,DP05_0091E,DP05_0090E,DP05_0073E,DP05_0078E,DP05_0081E,DP05_0082E,DP05_0080E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0087E,DP05_0086E,DP05_0079E,DP05_0001E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0006E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0003E,DP05_0002E,DP05_0018E,DP05_0005E,DP05_0089PE,DP05_0091PE,DP05_0090PE,DP05_0073PE,DP05_0078PE,DP05_0081PE,DP05_0082PE,DP05_0080PE,DP05_0083PE,DP05_0084PE,DP05_0085PE,DP05_0087PE,DP05_0086PE,DP05_0079PE,DP05_0001PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0006PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0003PE,DP05_0002PE,DP05_0005PE
1400000US19011960300,Census Tract 9603; Benton County; Iowa,3943,2134,1809,145,4999,18,27,59,0,0,139,139,0,4756,5144,484,229,290,350,725,627,396,262,437,665,286,218,2768,2376,44.5,175,3943,54.1,45.9,2.8,97.2,0.3,0.5,1.1,0,0,2.7,2.7,0,92.5,5144,9.4,4.5,5.6,6.8,14.1,12.2,7.7,5.1,8.5,12.9,5.6,53.8,46.2,3.4
1400000US19011960400,Census Tract 9604; Benton County; Iowa,2621,1262,1359,59,3224,0,0,0,0,0,30,30,0,3194,3283,173,213,179,430,324,476,136,274,255,279,308,59,1665,1618,46.2,177,2621,48.1,51.9,1.8,98.2,0,0,0,0,0,0.9,0.9,0,97.3,3283,5.3,6.5,5.5,13.1,9.9,14.5,4.1,8.3,7.8,8.5,9.4,50.7,49.3,5.4
1400000US19011960500,Census Tract 9605; Benton County; Iowa,4336,2103,2233,19,5861,0,9,10,0,0,100,98,2,5742,5880,449,488,278,555,789,816,372,456,386,488,229,176,2835,3045,39.4,398,4336,48.5,51.5,0.3,99.7,0,0.2,0.2,0,0,1.7,1.7,0,97.7,5880,7.6,8.3,4.7,9.4,13.4,13.9,6.3,7.8,6.6,8.3,3.9,48.2,51.8,6.8
1400000US19011960600,Census Tract 9606; Benton County; Iowa,2013,952,1061,94,2454,1,7,11,0,14,40,30,10,2381,2548,99,198,86,343,261,217,153,238,165,312,246,79,1153,1395,44.2,151,2013,47.3,52.7,3.7,96.3,0,0.3,0.4,0,0.5,1.6,1.2,0.4,93.4,2548,3.9,7.8,3.4,13.5,10.2,8.5,6,9.3,6.5,12.2,9.7,45.3,54.7,5.9
1400000US19011960700,Census Tract 9607; Benton County; Iowa,2171,1036,1135,55,2605,0,3,0,0,39,45,36,9,2518,2660,124,153,121,295,324,307,108,180,305,350,167,65,1208,1452,46.1,161,2171,47.7,52.3,2.1,97.9,0,0.1,0,0,1.5,1.7,1.4,0.3,94.7,2660,4.7,5.8,4.5,11.1,12.2,11.5,4.1,6.8,11.5,13.2,6.3,45.4,54.6,6.1
1400000US19013000100,Census Tract 1; Black Hawk County; Iowa,1199,447,752,206,1311,0,32,480,0,0,16,15,1,783,1517,34,40,65,303,228,124,93,63,129,182,88,84,606,911,39.7,84,1199,37.3,62.7,13.6,86.4,0,2.1,31.6,0,0,1.1,1,0.1,51.6,1517,2.2,2.6,4.3,20,15,8.2,6.1,4.2,8.5,12,5.8,39.9,60.1,5.5
1400000US19013000200,Census Tract 2; Black Hawk County; Iowa,1779,911,868,782,2484,0,419,622,297,3,105,90,15,1038,3266,330,376,265,346,535,198,249,257,212,101,42,0,1662,1604,25.8,355,1779,51.2,48.8,23.9,76.1,0,12.8,19,9.1,0.1,3.2,2.8,0.5,31.8,3266,10.1,11.5,8.1,10.6,16.4,6.1,7.6,7.9,6.5,3.1,1.3,50.9,49.1,10.9
1400000US19013000300,Census Tract 3; Black Hawk County; Iowa,1649,890,759,237,2183,2,67,747,0,0,42,42,0,1325,2420,193,209,179,242,249,458,120,142,95,187,63,85,1338,1082,37.2,198,1649,54,46,9.8,90.2,0.1,2.8,30.9,0,0,1.7,1.7,0,54.8,2420,8,8.6,7.4,10,10.3,18.9,5,5.9,3.9,7.7,2.6,55.3,44.7,8.2
1400000US19013000400,Census Tract 4; Black Hawk County; Iowa,1277,655,622,77,1605,0,0,117,0,0,60,27,33,1428,1682,96,90,121,329,247,228,153,99,78,70,55,16,838,844,33,100,1277,51.3,48.7,4.6,95.4,0,0,7,0,0,3.6,1.6,2,84.9,1682,5.7,5.4,7.2,19.6,14.7,13.6,9.1,5.9,4.6,4.2,3.3,49.8,50.2,5.9
1400000US19013000500,Census Tract 5; Black Hawk County; Iowa,1002,509,493,149,1385,48,5,348,59,0,106,106,0,819,1534,100,157,183,263,160,121,140,129,12,91,16,26,804,730,27.8,136,1002,50.8,49.2,9.7,90.3,3.1,0.3,22.7,3.8,0,6.9,6.9,0,53.4,1534,6.5,10.2,11.9,17.1,10.4,7.9,9.1,8.4,0.8,5.9,1,52.4,47.6,8.9
1400000US19013000700,Census Tract 7; Black Hawk County; Iowa,976,574,402,243,1285,6,68,380,0,8,244,244,0,579,1528,195,97,241,205,273,109,166,31,20,87,28,0,915,613,23.9,76,976,58.8,41.2,15.9,84.1,0.4,4.5,24.9,0,0.5,16,16,0,37.9,1528,12.8,6.3,15.8,13.4,17.9,7.1,10.9,2,1.3,5.7,1.8,59.9,40.1,5
1400000US19013000800,Census Tract 8; Black Hawk County; Iowa,2676,1200,1476,682,2944,0,7,318,0,0,211,86,125,2408,3626,202,119,164,389,539,531,257,244,459,217,167,70,1778,1848,42.8,268,2676,44.8,55.2,18.8,81.2,0,0.2,8.8,0,0,5.8,2.4,3.4,66.4,3626,5.6,3.3,4.5,10.7,14.9,14.6,7.1,6.7,12.7,6,4.6,49,51,7.4
1400000US19013000900,Census Tract 9; Black Hawk County; Iowa,1618,795,823,214,2121,0,144,408,0,0,67,67,0,1502,2335,36,121,138,519,327,152,221,164,124,144,175,36,1017,1318,34.4,178,1618,49.1,50.9,9.2,90.8,0,6.2,17.5,0,0,2.9,2.9,0,64.3,2335,1.5,5.2,5.9,22.2,14,6.5,9.5,7,5.3,6.2,7.5,43.6,56.4,7.6
