GEO_ID,NAME,DP02_0124E,DP02_0059E,DP02_0061E,DP02_0064E,DP02_0065E,DP02_0068E,DP02_0066E,DP02_0062E,DP02_0067E,DP02_0060E,DP02_0063E,DP02_0001E,DP02_0017E,DP02_0016E,DP02_0004E,DP02_0010E,DP02_0015E,DP02_0006E,DP02_0002E,DP02_0081E,DP02_0087E,DP02_0082E,DP02_0084E,DP02_0086E,DP02_0085E,DP02_0083E,DP02_0080E,DP02_0059PE,DP02_0061PE,DP02_0064PE,DP02_0065PE,DP02_0068PE,DP02_0066PE,DP02_0062PE,DP02_0067PE,DP02_0060PE,DP02_0063PE,DP02_0004PE,DP02_0010PE,DP02_0015PE,DP02_0006PE,DP02_0002PE,DP02_0079PE,DP02_0081PE,DP02_0087PE,DP02_0082PE,DP02_0084PE,DP02_0086PE,DP02_0085PE,DP02_0083PE,DP02_0080PE
1400000US19119950200,Census Tract 9502; Lyon County; Iowa,3603,2168,50,258,372,471,99,988,2032,86,315,1213,3.44,2.88,75,223,390,148,767,408,0,408,91,40,51,317,3145,2168,2.3,11.9,17.2,21.7,4.6,45.6,93.7,4,14.5,6.2,18.4,32.2,12.2,63.2,3553,11.5,0,11.5,2.6,1.1,1.4,8.9,88.5
1400000US19119950300,Census Tract 9503; Lyon County; Iowa,5891,3785,66,729,565,729,164,1520,3644,75,666,2136,3.33,2.74,75,302,668,325,1434,402,3,399,219,106,113,180,5392,3785,1.7,19.3,14.9,19.3,4.3,40.2,96.3,2,17.6,3.5,14.1,31.3,15.2,67.1,5794,6.9,0.1,6.9,3.8,1.8,2,3.1,93.1
1400000US19121060101,Census Tract 601.01; Madison County; Iowa,3583,2394,49,373,530,671,141,725,2329,16,560,1326,3.04,2.7,54,173,426,211,888,254,0,254,203,12,191,51,3305,2394,2,15.6,22.1,28,5.9,30.3,97.3,0.7,23.4,4.1,13,32.1,15.9,67,3559,7.1,0,7.1,5.7,0.3,5.4,1.4,92.9
1400000US19121060102,Census Tract 601.02; Madison County; Iowa,3689,2596,46,319,507,721,214,731,2546,4,775,1444,2.98,2.55,79,133,549,292,940,255,0,255,248,9,239,7,3410,2596,1.8,12.3,19.5,27.8,8.2,28.2,98.1,0.2,29.9,5.5,9.2,38,20.2,65.1,3665,7,0,7,6.8,0.2,6.5,0.2,93
1400000US19121060200,Census Tract 602; Madison County; Iowa,5063,3512,85,318,482,759,277,1351,3379,48,951,2195,3.07,2.23,199,692,809,398,906,863,0,863,525,33,492,338,4196,3512,2.4,9.1,13.7,21.6,7.9,38.5,96.2,1.4,27.1,9.1,31.5,36.9,18.1,41.3,5059,17.1,0,17.1,10.4,0.7,9.7,6.7,82.9
1400000US19121060300,Census Tract 603; Madison County; Iowa,4274,2820,44,294,667,771,104,1048,2728,48,615,1510,3.16,2.82,88,217,453,178,1027,392,5,387,141,28,113,246,3820,2820,1.6,10.4,23.7,27.3,3.7,37.2,96.7,1.7,21.8,5.8,14.4,30,11.8,68,4212,9.3,0.1,9.2,3.3,0.7,2.7,5.8,90.7
1400000US19123950100,Census Tract 9501; Mahaska County; Iowa,3207,2277,119,357,325,417,92,906,2106,52,426,1359,2.79,2.36,106,260,396,231,762,369,2,367,226,43,183,141,2778,2277,5.2,15.7,14.3,18.3,4,39.8,92.5,2.3,18.7,7.8,19.1,29.1,17,56.1,3147,11.7,0.1,11.7,7.2,1.4,5.8,4.5,88.3
1400000US19123950200,Census Tract 9502; Mahaska County; Iowa,3067,2086,35,242,402,525,123,786,2029,22,476,1301,2.86,2.36,86,212,365,225,778,194,11,183,66,48,18,117,2849,2086,1.7,11.6,19.3,25.2,5.9,37.7,97.3,1.1,22.8,6.6,16.3,28.1,17.3,59.8,3043,6.4,0.4,6,2.2,1.6,0.6,3.8,93.6
1400000US19123950300,Census Tract 9503; Mahaska County; Iowa,3779,2610,130,283,392,478,86,1103,2409,71,545,1391,3.26,2.63,44,209,493,315,823,200,0,200,121,61,60,79,3573,2610,5,10.8,15,18.3,3.3,42.3,92.3,2.7,20.9,3.2,15,35.4,22.6,59.2,3773,5.3,0,5.3,3.2,1.6,1.6,2.1,94.7
1400000US19123950400,Census Tract 9504; Mahaska County; Iowa,2889,2043,72,161,448,585,137,728,1887,84,413,1244,2.53,2.24,103,231,385,288,622,578,11,567,233,16,217,334,2289,2043,3.5,7.9,21.9,28.6,6.7,35.6,92.4,4.1,20.2,8.3,18.6,30.9,23.2,50,2867,20.2,0.4,19.8,8.1,0.6,7.6,11.6,79.8
1400000US19123950500,Census Tract 9505; Mahaska County; Iowa,2999,2051,46,301,346,597,251,691,1958,47,369,1202,3.27,2.45,102,298,351,203,599,171,30,141,74,66,8,67,2789,2051,2.2,14.7,16.9,29.1,12.2,33.7,95.5,2.3,18,8.5,24.8,29.2,16.9,49.8,2960,5.8,1,4.8,2.5,2.2,0.3,2.3,94.2
1400000US19123950600,Census Tract 9506; Mahaska County; Iowa,3529,2031,86,252,427,550,123,574,1917,28,541,1387,2.8,2.29,123,404,374,230,630,729,0,729,380,221,159,349,2771,2031,4.2,12.4,21,27.1,6.1,28.3,94.4,1.4,26.6,8.9,29.1,27,16.6,45.4,3500,20.8,0,20.8,10.9,6.3,4.5,10,79.2
1400000US19123950700,Census Tract 9507; Mahaska County; Iowa,2589,1618,162,143,122,142,20,842,1409,47,282,989,3.08,2.53,159,395,378,144,291,486,0,486,268,124,144,218,2060,1618,10,8.8,7.5,8.8,1.2,52,87.1,2.9,17.4,16.1,39.9,38.2,14.6,29.4,2546,19.1,0,19.1,10.5,4.9,5.7,8.6,80.9
1400000US19125030101,Census Tract 301.01; Marion County; Iowa,4451,2951,59,288,820,1354,534,668,2853,39,543,1632,3,2.72,59,219,452,104,1250,303,4,299,170,87,83,129,4076,2951,2,9.8,27.8,45.9,18.1,22.6,96.7,1.3,18.4,3.6,13.4,27.7,6.4,76.6,4379,6.9,0.1,6.8,3.9,2,1.9,2.9,93.1
1400000US19125030102,Census Tract 301.02; Marion County; Iowa,3024,1986,77,204,275,431,156,598,1817,92,584,1232,2.65,2.42,64,315,223,152,701,378,0,378,290,108,182,88,2634,1986,3.9,10.3,13.8,21.7,7.9,30.1,91.5,4.6,29.4,5.2,25.6,18.1,12.3,56.9,3012,12.5,0,12.5,9.6,3.6,6,2.9,87.5
